code,name,行业,股息率_2023,最高_比_最低,最新_比_最高,最新_比_最低
603605,珀莱雅,美容护理,1.22,47.75,-6.96,37.46
603606,东方电缆,电网设备,0.95,47.0,-7.52,35.95
603699,纽威股份,通用设备,2.92,80.0,-12.4,57.68
603733,仙鹤股份,造纸印刷,1.85,72.71,-6.72,61.1
603848,好太太,家用轻工,2.17,39.12,-14.85,18.47
603858,步长制药,中药,0.82,22.91,-14.21,5.44
603893,瑞芯微,半导体,0.3,65.12,-3.85,58.76
603920,世运电路,电子元件,1.96,115.46,-5.33,103.97
603986,兆易创新,半导体,0.0,88.79,-10.97,68.08
603992,松霖科技,装修建材,2.28,63.03,-2.97,58.19
603993,洛阳钼业,小金属,1.7,103.43,-7.59,87.98
605081,太和水,环保行业,0.0,81.79,-10.02,63.57
605090,九丰能源,燃气,2.33,34.78,-4.25,29.05
605116,奥锐特,化学制药,0.85,45.49,-2.32,42.12
605166,聚合顺,化学制品,2.58,79.94,-9.6,62.66
605183,确成股份,橡胶制品,2.21,74.71,-12.46,52.94
605333,沪光股份,汽车零部件,0.17,101.97,-7.89,86.02
605499,东鹏饮料,食品饮料,1.11,41.97,-1.66,39.61
605589,圣泉集团,化学制品,1.96,45.65,-14.71,24.22
688003,天准科技,通用设备,1.74,82.68,-10.66,63.21
688008,澜起科技,半导体,0.48,47.53,0.0,47.53
688009,中国通号,交运设备,2.64,59.26,-4.03,52.84
688018,乐鑫科技,半导体,0.97,48.67,-11.74,31.22
688076,诺泰生物,医疗服务,0.58,107.68,-12.76,81.19
688087,英科再生,塑料制品,0.56,61.84,-13.1,40.63
688090,瑞松科技,专用设备,0.61,96.4,-13.73,69.44
688093,世华科技,电子元件,1.97,77.36,-7.74,63.64
688099,晶晨股份,半导体,0.75,57.77,-0.16,57.51
688100,威胜信息,通信设备,1.21,63.26,-9.44,47.85
688123,聚辰股份,半导体,0.31,100.45,-8.41,83.6
688138,清溢光电,半导体,0.74,93.84,-12.68,69.27
688183,生益电子,电子元件,0.0,360.36,0.0,360.36
688187,时代电气,交运设备,1.43,71.81,-1.5,69.22
688208,道通科技,计算机设备,1.5,86.67,-13.18,62.06
688213,思特威-W,半导体,0.31,66.02,-7.8,53.07
688248,南网科技,电网设备,0.61,81.3,-7.37,67.93
688249,晶合集成,半导体,0.0,50.75,-14.31,29.18
688256,寒武纪-U,半导体,0.0,110.92,-8.24,93.54
688266,泽璟制药-U,化学制药,0.0,66.64,-4.81,58.62
688267,中触媒,化学原料,1.03,74.15,-13.52,50.62
688312,燕麦科技,专用设备,1.72,104.21,-9.43,84.96
688334,西高院,专业服务,1.69,29.53,-13.46,12.09
688399,硕世生物,医疗器械,0.0,60.83,-9.36,45.77
688425,铁建重工,工程机械,2.48,17.5,-14.18,0.83
688500,慧辰股份,互联网服务,0.0,47.23,-3.97,41.38
688510,航亚科技,航天航空,1.1,84.18,-10.27,65.27
688519,南亚新材,电子元件,0.0,149.79,-9.27,126.64
688578,艾力斯,化学制药,0.67,95.09,-7.4,80.66
688608,恒玄科技,半导体,0.1,54.42,0.0,54.42
689009,九号公司-WD,交运设备,0.76,85.95,-11.59,64.4
837821,则成电子,电子元件,0.75,183.8,-4.72,170.41
838163,方大新材,包装材料,1.67,204.47,-8.75,177.84
870436,大地电气,汽车零部件,0.0,128.13,-8.36,109.06
871970,大禹生物,农牧饲渔,0.0,156.86,-7.0,138.89
